# Source: https://github.com/BlueSkyLT/siteselect_sg/blob/main/dataset/hdb.csv (trimmed to 5 columns)
blk_no,street,lat,lng,postal
1,BEACH RD,1.29509740789339,103.85406834457,189673
1,BEDOK STH AVE 1,1.32085208689731,103.933721091441,460001
1,CANTONMENT RD,1.27548808568155,103.841419048957,080001
1,CHAI CHEE RD,1.32796879176302,103.922716018139,461001
1,CHANGI VILLAGE RD,1.3886100383707,103.988093482829,500001
1,DELTA AVE,1.2920752508431,103.828584077626,160001
1,DOVER RD,1.3025299473495,103.783271662459,130001
1,EUNOS CRES,1.3206576452482,103.90246344511,400001
1,EVERTON PK,1.27549895431693,103.841398475091,080001
1,GEYLANG SERAI,1.31649415743907,103.896788418353,408528
1,GHIM MOH RD,1.31287975684307,103.786855017635,270001
1,HAIG RD,1.31129091782202,103.897703436187,430001
1,HOLLAND CL,1.30921937771543,103.796732386696,271001
1,HOUGANG AVE 3,1.36413097349222,103.89300132385,530001
1,JLN KUKOH,1.2882310152805,103.839934168065,161001
1,JLN BT MERAH,1.28644157642074,103.808286977232,150001
1,JOO CHIAT RD,1.31585905896007,103.898376166223,420001
1,KG KAYU RD,1.30355769675629,103.883796413118,431001
1,LOR LEW LIAN,1.35086712646948,103.875343939672,531001
1,LOR 7 TOA PAYOH,1.33943033543358,103.853442790992,310001
1,MARINE TER,1.30482902187779,103.918614976369,440001
1,MARSILING DR,1.44067109860246,103.775739945213,730001
1,MAUDE RD,1.30754402298124,103.859019708551,200001
1,PINE CL,1.30787056219408,103.883192164927,390001
1,QUEEN'S RD,1.31726629524359,103.806782877524,260001
1,ST. GEORGE'S RD,1.32263933076595,103.861706374536,328047
1,TAMPINES WALK,1.35330030677679,103.940525443768,528523
1,TECK WHYE AVE,1.38253882861956,103.751710905678,680001
1,TELOK BLANGAH CRES,1.27945660077329,103.817897561986,090001
1,TG PAGAR PLAZA,1.27624051973973,103.843006115698,082001
1,THOMSON RD,1.33051031184912,103.837543691498,298333
1,TOH YI DR,1.33957175314186,103.774678246393,591501
1,UPP ALJUNIED LANE,1.33495593074876,103.881581049872,367901
1,WOODLANDS IND PK E3,1.45481345453812,103.800069233274,757780
1A,C'WEALTH DR,1.29973071571151,103.797835538253,141001
1A,CANTONMENT RD,1.27784271048219,103.840965923691,085101
1A,EUNOS CRES,1.32128818179926,103.902726296147,401001
1A,EVERTON PK,1.27719057474477,103.840257670063,083001
1A,TELOK PAKU RD,1.38796658624186,103.988298872524,498730
1A,TELOK BLANGAH CRES,1.27960681823771,103.817790528392,091001
1A,THOMSON RD,1.32574173430776,103.843034351562,301001
1A,TOH YI DR,1.33904480982037,103.774300403826,591601
1B,CANTONMENT RD,1.27779940676005,103.841403430465,085201
1C,CANTONMENT RD,1.27744909387079,103.841666679651,085301
1D,CANTONMENT RD,1.27692024304713,103.841485788369,085401
1E,CANTONMENT RD,1.27662168427368,103.841156142262,085501
1F,CANTONMENT RD,1.27598699469414,103.841191762017,085601
1G,CANTONMENT RD,1.27553229128302,103.841274606704,085701
10,BENDEMEER RD,1.31550993783628,103.860952982979,330010
10,CANTONMENT CL,1.27456974280287,103.839212088396,080010
10,CHAI CHEE RD,1.32727572366021,103.924803599281,467010
10,DAKOTA CRES,1.30634114614887,103.884458183612,390010
10,EUNOS CRES,1.32228655863065,103.902720513959,400010
10,GLOUCESTER RD,1.31391659570533,103.852209774907,210010
10,HAIG RD,1.3148464110566,103.895864993673,430010
10,HOLLAND AVE,1.30814997104791,103.794275184926,271010
10,JLN BT HO SWEE,1.28745837020188,103.832675765986,161010
10,JLN RUMAH TINGGI,1.28820018880462,103.808369387433,150010
10,JLN BATU,1.30204488252463,103.882887148325,431010
10,JLN KUKOH,1.2869738344398,103.839075823483,162010
10,JOO SENG RD,1.33461833377097,103.88016502252,360010
10,LOR 7 TOA PAYOH,1.33716527577081,103.857228807914,310010
10,MARSILING DR,1.44080567418718,103.777318569996,730010
10,NTH BRIDGE RD,1.3055523404779,103.863562821016,190010
10,PINE CL,1.30915239429834,103.882242524292,391010
10,SELEGIE RD,1.30370879401395,103.850537238747,180010
10,ST. GEORGE'S RD,1.32374648815059,103.863412150847,320010
10,TECK WHYE AVE,1.38047054647235,103.755211077169,680010
10,TELOK BLANGAH CRES,1.27773153190559,103.819769431353,090010
10,TOH YI DR,1.33753956576433,103.773161066389,590010
10,WOODLANDS AVE 8,1.45428714079221,103.800262079753,738973
10A,BEDOK STH AVE 2,1.32258561622604,103.936849426204,460010
10A,BENDEMEER RD,1.31499138887312,103.86050538635,331010
10A,BOON TIONG RD,1.28635847107695,103.82962615571,160010
10A,CHAI CHEE RD,1.32710364303997,103.924921271502,469010
10A,HOLLAND DR,1.30840447057738,103.793697481916,272010
10A,JLN KUKOH,1.28683793317038,103.838674084243,163010
10A,LOR 7 TOA PAYOH,1.33717164294913,103.857793534302,311010
10B,BENDEMEER RD,1.31547715332072,103.860312930116,332010
10B,BEDOK STH AVE 2,1.32235386630343,103.936183263112,461010
10B,BOON TIONG RD,1.28633684743341,103.829204757258,164010
10B,LOR 7 TOA PAYOH,1.33716136352623,103.858353639387,312010
10C,BENDEMEER RD,1.31584236197018,103.860644539729,333010
10C,BEDOK STH AVE 2,1.32209389873887,103.936222129379,462010
10C,LOR 7 TOA PAYOH,1.33691012993385,103.858049346644,313010
10D,BEDOK STH AVE 2,1.3217708591015,103.936326570445,463010
10E,BEDOK STH AVE 2,1.3216200934601,103.937040959341,464010
10F,BEDOK STH AVE 2,1.32221773472774,103.937001345916,465010
100,ALJUNIED CRES,1.32096619913268,103.884167439456,380100
100,BEDOK NTH AVE 4,1.3343559340081,103.939032711241,460100
100,C'WEALTH CRES,1.30770527644458,103.801272476263,140100
100,LOR 1 TOA PAYOH,1.33956400517882,103.848585713817,310100
100,WHAMPOA DR,1.32077947735201,103.854348739922,320100
101,AH HOOD RD,1.32739678972464,103.84448102202,320101
101,ALJUNIED CRES,1.32092275330579,103.883351967045,380101
101,ANG MO KIO AVE 3,1.37026158388486,103.839467898898,560101
101,BEDOK RESERVOIR RD,1.32844913301985,103.909937396599,470101
101,BEDOK NTH AVE 4,1.334484667124,103.937924710969,460101
101,BISHAN ST 12,1.34485915828152,103.848400765185,570101
101,BIDADARI PK DR,1.33623671562033,103.871287596113,340101
101,BT PURMEI RD,1.27146256556443,103.825683545567,090101
101,BT BATOK WEST AVE 6,1.34670636093149,103.746920663038,650101
101,C'WEALTH CRES,1.30805159231327,103.800842814413,140101
101,CANBERRA ST,1.45139998591606,103.830859953414,750101
101,CLEMENTI ST 14,1.32208936757694,103.76893341249,120101
101,GANGSA RD,1.37916431633637,103.767439286222,670101
101,HENDERSON CRES,1.29071799751539,103.821625207737,150101
101,HOUGANG AVE 1,1.35493747800562,103.891360573947,530101
101,JLN RAJAH,1.32880086167984,103.850782023537,321101
101,JURONG EAST ST 13,1.33701100762294,103.738787314099,600101
101,LENGKONG TIGA,1.32515983382087,103.910888819332,410101
101,PASIR RIS ST 12,1.36705021516612,103.958181857039,510101
101,POTONG PASIR AVE 1,1.33315710123237,103.868380398922,350101
101,PUNGGOL FIELD,1.39848166105504,103.905808105789,820101
101,RIVERVALE WALK,1.38276428975734,103.899272029115,540101
101,SERANGOON NTH AVE 1,1.37103631988089,103.870360910842,550101
101,SIMEI ST 1,1.34084991073361,103.951433717517,520101
101,SPOTTISWOODE PK RD,1.27524141291212,103.836045808088,080101
101,TAMPINES ST 11,1.34739870794535,103.945292359327,521101
101,TECK WHYE LANE,1.37788964623982,103.754239909547,680101
101,TOWNER RD,1.31943274557093,103.861091006776,322101
101,WHAMPOA DR,1.32041710187602,103.853813946402,323101
101,WOODLANDS ST 13,1.43598159724925,103.781929846478,730101
101,YISHUN AVE 5,1.43053589946874,103.827668593789,760101
101A,BIDADARI PK DR,1.33685491728857,103.870997554177,341101
101A,CANBERRA ST,1.45173892803325,103.83045410628,751101
101A,LOR 2 TOA PAYOH,1.33974126719163,103.847264187382,310101
101A,PUNGGOL FIELD,1.3979461677694,103.905945136259,821101
101A,YISHUN AVE 5,1.43113228990206,103.828367142634,761101
101B,CANBERRA ST,1.45166310353079,103.831174909166,752101
101B,LOR 2 TOA PAYOH,1.33959884500115,103.847605414427,311101
